F_ID,F_NAME,F_PRICE
369589,Blanched Truffles &amp; Pigeon,357
103948,Simmered Ginger Lamb,671
240866,Basted Casserole of Clams,412
507783,Cooked Lime Herring,712
894118,Stewed Mint &amp; Berry Gratin,121
534272,Tea-Smoked Forest Salad,138
528579,Papaya and Cardamom Mooncake,180
591005,Apple and Pistachio Jelly,590
356438,Date Toffee,495
695294,Guava Waffles,260
471519,Roasted Almonds &amp; Avocado Lamb,263
250420,Smoked Nuts &amp; Pork,570
616780,Tea-Smoked Chili Trout,112
481871,Pressure-Fried Apricots &amp; Honey Clams,155
558797,Fire-Roasted Garlic &amp; Lime Flatbread,470
200367,Marinated Nuts &amp; Scrambled Egg,740
372720,Lime and Chocolate Yogurt,106
796254,Cinnamon and Cranberry Molten Cake,575
946354,Papaya Pound Cake,491
247510,Chocolate Waffles,501
169224,Stir-Fried Casserole of Lamb,559
288062,Pressure-Cooked Basil &amp; Clove Horse,622
690412,Fried Raspberry &amp; Peanut Herring,501
576121,Broasted Salted Salmon,286
378205,Marinated Apples &amp; Walnut Taco,281
407955,Stir-Fried Basil &amp; Cinnamon Pasta,675
942700,Orange and Mandarin Surprise,459
756550,Saffron and Peanut Custard,271
849907,Nutmeg Cheesecake,688
236990,Plum Milk,494
682666,Saut�ed Almonds &amp; Avocado Pork,627
824149,Seared Honey Duck,479
689895,Pressure-Fried Honey &amp; Almond Shrimps,524
465738,Pan-Fried Pepper &amp; Mango Cod,192
827901,Infused Stew of Tortilla,492
298342,Broasted Honey-Coated Buns,261
251314,Cardamom and Peanut Custard,592
468864,Date and Peach Pancakes,195
947417,Banana Bombe,497
693879,Cranberry Toffee,635
234547,Deep-Fried Salted Pork,229
331517,Pressure-Cooked Mushroom &amp; Apricot Lamb,187
327205,Dry-Roasted Mushroom &amp; Apricot Mussels,657
955036,Cured Thyme &amp; Parsley Cod,604
678531,Pressure-Fried Mushroom &amp; Garlic Salad,723
477782,Seared Fennel &amp; Lime Potato Wedges,427
702156,Papaya and Banana Toast,224
919728,Apple and Cherry Jelly,498
160767,Nutmeg Pud,580
507632,Mandarin Fruit Salad,605
