C_ID,R_ID,R_Date,R_Time
120000001,326617,01-01-2017,15:15
120000002,995962,01-01-2017,16:45
120000003,709637,01-01-2017,09:45
120000004,914622,01-01-2017,11:45
120000005,245943,01-01-2017,16:00
120000006,426288,01-01-2017,12:45
120000007,624934,01-01-2017,09:00
120000008,360379,01-01-2017,14:45
120000009,650850,02-01-2017,13:15
120000010,571630,02-01-2017,15:30
120000011,639193,03-01-2017,14:30
120000012,955585,03-01-2017,16:30
120000013,484965,03-01-2017,09:15
120000014,693509,03-01-2017,12:30
120000015,600630,03-01-2017,15:00
120000016,685144,03-01-2017,13:30
120000017,799303,04-01-2017,12:00
120000018,320918,04-01-2017,15:45
120000019,299882,04-01-2017,17:00
120000020,399491,04-01-2017,11:00
120000021,848798,04-01-2017,10:00
120000022,749390,04-01-2017,14:00
120000023,260908,04-01-2017,11:15
120000024,679738,04-01-2017,10:30
120000025,247346,05-01-2017,14:15
120000026,747205,05-01-2017,12:15
120000027,695151,05-01-2017,13:45
120000028,505474,05-01-2017,11:30
120000029,803643,05-01-2017,09:30
120000030,650791,05-01-2017,10:15
120000031,984432,05-01-2017,14:00
120000032,107252,06-01-2017,17:00
120000033,388246,06-01-2017,11:00
120000034,671513,06-01-2017,13:45
120000035,896407,06-01-2017,14:30
120000036,905003,06-01-2017,09:00
120000037,975976,06-01-2017,09:15
120000038,239548,06-01-2017,14:45
120000039,354995,06-01-2017,11:15
120000040,545030,06-01-2017,15:15
120000041,859556,07-01-2017,16:30
120000042,732513,07-01-2017,11:30
120000043,619982,07-01-2017,10:30
120000044,996366,07-01-2017,11:45
120000045,404407,07-01-2017,15:00
120000046,283213,08-01-2017,16:00
120000047,979334,08-01-2017,16:45
120000048,393848,08-01-2017,10:00
120000049,665400,08-01-2017,12:45
120000050,705825,08-01-2017,10:15
120000051,883040,09-01-2017,13:15
120000052,602615,09-01-2017,12:30
120000053,970258,10-01-2017,14:15
120000054,598450,10-01-2017,15:30
120000055,226976,10-01-2017,15:45
120000056,246458,11-01-2017,09:30
120000057,485201,11-01-2017,13:30
120000058,856062,11-01-2017,12:15
120000059,169604,12-01-2017,09:45
120000060,529321,12-01-2017,12:00
120000061,821293,12-01-2017,10:15
120000062,540270,12-01-2017,14:00
120000063,895702,12-01-2017,11:30
120000064,607592,12-01-2017,13:15
120000065,935123,13-01-2017,09:15
120000066,478063,13-01-2017,15:45
120000067,989798,13-01-2017,10:00
120000068,835338,13-01-2017,16:30
120000069,643193,13-01-2017,16:45
120000070,680019,13-01-2017,13:30
120000071,444038,14-01-2017,09:00
120000072,555471,14-01-2017,09:15
120000073,438344,15-01-2017,09:30
120000074,385475,15-01-2017,09:45
120000075,838876,15-01-2017,10:00
120000076,923139,15-01-2017,10:15
120000077,793809,15-01-2017,10:30
120000078,612648,16-01-2017,10:45
120000079,912001,16-01-2017,11:00
120000080,145419,16-01-2017,11:15
120000081,461672,16-01-2017,11:30
120000082,544536,16-01-2017,11:45
120000083,217553,16-01-2017,12:00
120000084,430820,16-01-2017,12:15
120000085,799535,17-01-2017,12:30
120000086,881515,17-01-2017,12:45
120000087,879225,17-01-2017,13:00
120000088,578122,17-01-2017,13:15
120000089,600967,17-01-2017,13:30
120000090,879711,18-01-2017,13:45
120000091,807551,18-01-2017,14:00
120000092,316780,18-01-2017,14:15
120000093,609845,18-01-2017,14:30
120000094,559764,18-01-2017,14:45
120000095,946931,18-01-2017,15:00
120000096,888353,18-01-2017,15:15
120000097,696390,19-01-2017,15:30
120000098,421594,19-01-2017,15:45
120000099,157817,19-01-2017,16:00
120000100,382916,19-01-2017,16:15
120000101,326617,19-01-2017,16:30
120000102,995962,20-01-2017,16:45
120000103,709637,20-01-2017,17:00
120000104,914622,20-01-2017,09:00
120000105,245943,20-01-2017,09:15
120000106,426288,20-01-2017,09:30
120000107,624934,20-01-2017,09:45
120000108,360379,20-01-2017,10:00
120000109,650850,20-01-2017,10:15
120000110,571630,20-01-2017,10:30
120000111,639193,20-01-2017,10:45
120000112,955585,21-01-2017,11:00
120000113,484965,21-01-2017,11:15
120000114,693509,21-01-2017,11:30
120000115,600630,21-01-2017,11:45
120000116,685144,21-01-2017,12:00
120000117,799303,21-01-2017,12:15
120000118,320918,22-01-2017,12:30
120000119,299882,22-01-2017,12:45
120000120,399491,22-01-2017,13:00
120000121,848798,22-01-2017,13:15
120000122,749390,22-01-2017,13:30
120000123,260908,22-01-2017,13:45
120000124,679738,23-01-2017,14:00
120000125,247346,23-01-2017,14:15
120000126,747205,23-01-2017,14:30
120000127,695151,23-01-2017,14:45
120000128,505474,23-01-2017,15:00
120000129,803643,24-01-2017,15:15
120000130,650791,24-01-2017,15:30
120000131,984432,24-01-2017,15:45
120000132,107252,24-01-2017,16:00
120000133,388246,25-01-2017,16:15
120000134,671513,25-01-2017,16:30
120000135,896407,25-01-2017,16:45
120000136,905003,25-01-2017,17:00
120000137,975976,25-01-2017,09:00
120000138,239548,26-01-2017,09:15
120000139,354995,26-01-2017,09:30
120000140,545030,26-01-2017,09:45
120000141,859556,26-01-2017,10:00
120000142,732513,26-01-2017,10:15
120000143,619982,26-01-2017,10:30
120000144,996366,26-01-2017,10:45
120000145,404407,27-01-2017,11:00
120000146,283213,27-01-2017,11:15
120000147,979334,27-01-2017,11:30
120000148,393848,28-01-2017,11:45
120000149,665400,28-01-2017,12:00
120000150,705825,28-01-2017,12:15
120000151,883040,28-01-2017,12:30
120000152,602615,28-01-2017,12:45
120000153,970258,29-01-2017,13:00
120000154,598450,29-01-2017,13:15
120000155,226976,29-01-2017,13:30
120000156,246458,29-01-2017,13:45
120000157,485201,30-01-2017,14:00
120000158,856062,30-01-2017,14:15
120000159,169604,30-01-2017,14:30
120000160,529321,30-01-2017,14:45
120000161,821293,30-01-2017,15:00
120000162,540270,30-01-2017,15:15
120000163,895702,31-01-2017,15:30
120000164,607592,31-01-2017,15:45
120000165,935123,31-01-2017,16:00
120000166,478063,31-01-2017,16:15
120000167,989798,31-01-2017,16:30
120000168,835338,31-01-2017,16:45
120000169,643193,31-01-2017,17:00
120000170,680019,31-01-2017,09:00
120000171,444038,01-02-2017,09:15
120000172,555471,01-02-2017,09:30
120000173,438344,01-02-2017,09:45
120000174,385475,01-02-2017,10:00
120000175,838876,02-02-2017,10:15
120000176,923139,02-02-2017,10:30
120000177,793809,02-02-2017,10:45
120000178,612648,02-02-2017,11:00
120000179,912001,03-02-2017,11:15
120000180,145419,03-02-2017,11:30
120000181,461672,03-02-2017,11:45
120000182,544536,03-02-2017,12:00
120000183,217553,04-02-2017,12:15
120000184,430820,04-02-2017,12:30
120000185,799535,04-02-2017,12:45
120000186,881515,05-02-2017,13:00
120000187,879225,05-02-2017,13:15
120000188,578122,05-02-2017,13:30
120000189,600967,05-02-2017,13:45
120000190,879711,06-02-2017,14:00
120000191,807551,06-02-2017,14:15
120000192,316780,07-02-2017,14:30
120000193,609845,07-02-2017,14:45
120000194,559764,07-02-2017,15:00
120000195,946931,07-02-2017,15:15
120000196,888353,07-02-2017,15:30
120000197,696390,08-02-2017,15:45
120000198,421594,08-02-2017,16:00
120000199,157817,08-02-2017,16:15
120000200,382916,08-02-2017,16:30
120000201,326617,08-02-2017,16:45
120000202,995962,08-02-2017,17:00
120000203,709637,09-02-2017,09:00
120000204,914622,09-02-2017,09:15
120000205,245943,09-02-2017,09:30
120000206,426288,09-02-2017,09:45
120000207,624934,10-02-2017,10:00
120000208,360379,10-02-2017,10:15
120000209,650850,10-02-2017,10:30
120000210,571630,10-02-2017,10:45
120000211,639193,10-02-2017,11:00
120000212,955585,11-02-2017,11:15
120000213,484965,12-02-2017,11:30
120000214,693509,12-02-2017,11:45
120000215,600630,12-02-2017,12:00
120000216,685144,12-02-2017,12:15
120000217,799303,12-02-2017,12:30
120000218,320918,13-02-2017,12:45
120000219,299882,13-02-2017,13:00
120000220,399491,14-02-2017,13:15
120000221,848798,14-02-2017,13:30
120000222,749390,15-02-2017,13:45
120000223,260908,15-02-2017,14:00
120000224,679738,15-02-2017,14:15
120000225,247346,15-02-2017,14:30
120000226,747205,15-02-2017,14:45
120000227,695151,16-02-2017,15:00
120000228,505474,16-02-2017,15:15
120000229,803643,16-02-2017,15:30
120000230,650791,16-02-2017,15:45
120000231,984432,17-02-2017,16:00
120000232,107252,17-02-2017,16:15
120000233,388246,17-02-2017,16:30
120000234,671513,18-02-2017,16:45
120000235,896407,18-02-2017,17:00
120000236,905003,18-02-2017,09:00
120000237,975976,18-02-2017,09:00
