C_ID,I_ID,Sold_Date,Quantity,Sold_Time
120000001,78710,01-01-2017,1,15:15
120000002,28401,01-01-2017,2,16:45
120000003,42540,01-01-2017,3,09:45
120000004,16389,01-01-2017,4,11:45
120000005,43036,01-01-2017,13,16:00
120000006,28708,01-01-2017,7,12:45
120000007,35354,01-01-2017,13,09:00
120000008,77532,01-01-2017,2,14:45
120000009,50529,02-01-2017,10,13:15
120000010,21853,02-01-2017,6,15:30
120000011,31637,03-01-2017,11,14:30
120000012,51996,03-01-2017,4,16:30
120000013,14610,03-01-2017,14,09:15
120000014,24667,03-01-2017,9,12:30
120000015,44901,03-01-2017,3,15:00
120000016,44913,03-01-2017,11,13:30
120000017,38502,04-01-2017,14,12:00
120000018,37427,04-01-2017,12,15:45
120000019,47288,04-01-2017,14,17:00
120000020,60224,04-01-2017,6,11:00
120000021,23070,04-01-2017,6,10:00
120000022,64284,04-01-2017,10,14:00
120000023,24755,04-01-2017,5,11:15
120000024,22793,04-01-2017,13,10:30
120000025,74115,05-01-2017,1,14:15
120000026,59330,05-01-2017,4,12:15
120000027,61860,05-01-2017,9,13:45
120000028,66016,05-01-2017,12,11:30
120000029,71419,05-01-2017,2,09:30
120000030,20047,05-01-2017,7,10:15
120000031,32167,05-01-2017,9,14:00
120000032,56356,06-01-2017,1,17:00
120000033,21922,06-01-2017,7,11:00
120000034,16437,06-01-2017,1,13:45
120000035,44032,06-01-2017,12,14:30
120000036,37821,06-01-2017,2,09:00
120000037,39398,06-01-2017,6,09:15
120000038,56997,06-01-2017,5,14:45
120000039,22219,06-01-2017,8,11:15
120000040,46059,06-01-2017,2,15:15
120000041,78710,07-01-2017,12,16:30
120000042,28401,07-01-2017,11,11:30
120000043,42540,07-01-2017,12,10:30
120000044,16389,07-01-2017,8,11:45
120000045,43036,07-01-2017,4,15:00
120000046,28708,08-01-2017,11,16:00
120000047,35354,08-01-2017,7,16:45
120000048,77532,08-01-2017,13,10:00
120000049,50529,08-01-2017,12,12:45
120000050,21853,08-01-2017,11,10:15
120000051,31637,09-01-2017,12,13:15
120000052,51996,09-01-2017,5,12:30
120000053,14610,10-01-2017,1,14:15
120000054,24667,10-01-2017,2,15:30
120000055,44901,10-01-2017,7,15:45
120000056,44913,11-01-2017,3,09:30
120000057,38502,11-01-2017,1,13:30
120000058,37427,11-01-2017,8,12:15
120000059,47288,12-01-2017,14,09:45
120000060,60224,12-01-2017,13,12:00
120000061,23070,12-01-2017,3,10:15
120000062,64284,12-01-2017,5,14:00
120000063,24755,12-01-2017,1,11:30
120000064,22793,12-01-2017,7,13:15
120000065,74115,13-01-2017,4,09:15
120000066,59330,13-01-2017,1,15:45
120000067,61860,13-01-2017,8,10:00
120000068,66016,13-01-2017,15,16:30
120000069,71419,13-01-2017,6,16:45
120000070,20047,13-01-2017,7,13:30
120000071,32167,14-01-2017,11,09:00
120000072,56356,14-01-2017,6,09:15
120000073,21922,15-01-2017,12,09:30
120000074,16437,15-01-2017,3,09:45
120000075,44032,15-01-2017,1,10:00
120000076,37821,15-01-2017,14,10:15
120000077,39398,15-01-2017,15,10:30
120000078,56997,16-01-2017,1,10:45
120000079,22219,16-01-2017,10,11:00
120000080,46059,16-01-2017,9,11:15
120000081,78710,16-01-2017,13,11:30
120000082,28401,16-01-2017,8,11:45
120000083,42540,16-01-2017,3,12:00
120000084,16389,16-01-2017,6,12:15
120000085,43036,17-01-2017,10,12:30
120000086,28708,17-01-2017,3,12:45
120000087,35354,17-01-2017,6,13:00
120000088,77532,17-01-2017,7,13:15
120000089,50529,17-01-2017,5,13:30
120000090,21853,18-01-2017,7,13:45
120000091,31637,18-01-2017,10,14:00
120000092,51996,18-01-2017,12,14:15
120000093,14610,18-01-2017,4,14:30
120000094,24667,18-01-2017,12,14:45
120000095,44901,18-01-2017,13,15:00
120000096,44913,18-01-2017,11,15:15
120000097,38502,19-01-2017,6,15:30
120000098,37427,19-01-2017,5,15:45
120000099,47288,19-01-2017,9,16:00
120000100,60224,19-01-2017,1,16:15
120000101,23070,19-01-2017,4,16:30
120000102,64284,20-01-2017,10,16:45
120000103,24755,20-01-2017,14,17:00
120000104,22793,20-01-2017,12,09:00
120000105,74115,20-01-2017,6,09:15
120000106,59330,20-01-2017,4,09:30
120000107,61860,20-01-2017,9,09:45
120000108,66016,20-01-2017,3,10:00
120000109,71419,20-01-2017,9,10:15
120000110,20047,20-01-2017,9,10:30
120000111,32167,20-01-2017,4,10:45
120000112,56356,21-01-2017,8,11:00
120000113,21922,21-01-2017,3,11:15
120000114,16437,21-01-2017,6,11:30
120000115,44032,21-01-2017,14,11:45
120000116,37821,21-01-2017,7,12:00
120000117,39398,21-01-2017,2,12:15
120000118,56997,22-01-2017,14,12:30
120000119,22219,22-01-2017,13,12:45
120000120,46059,22-01-2017,1,13:00
120000121,78710,22-01-2017,7,13:15
120000122,28401,22-01-2017,8,13:30
120000123,42540,22-01-2017,14,13:45
120000124,16389,23-01-2017,5,14:00
120000125,43036,23-01-2017,7,14:15
120000126,28708,23-01-2017,11,14:30
120000127,35354,23-01-2017,8,14:45
120000128,77532,23-01-2017,15,15:00
120000129,50529,24-01-2017,2,15:15
120000130,21853,24-01-2017,9,15:30
120000131,31637,24-01-2017,2,15:45
120000132,51996,24-01-2017,12,16:00
120000133,14610,25-01-2017,6,16:15
120000134,24667,25-01-2017,3,16:30
120000135,44901,25-01-2017,11,16:45
120000136,44913,25-01-2017,3,17:00
120000137,38502,25-01-2017,7,09:00
120000138,37427,26-01-2017,6,09:15
120000139,47288,26-01-2017,7,09:30
120000140,60224,26-01-2017,11,09:45
120000141,23070,26-01-2017,11,10:00
120000142,64284,26-01-2017,7,10:15
120000143,24755,26-01-2017,8,10:30
120000144,22793,26-01-2017,6,10:45
120000145,74115,27-01-2017,9,11:00
120000146,59330,27-01-2017,12,11:15
120000147,61860,27-01-2017,8,11:30
120000148,66016,28-01-2017,2,11:45
120000149,71419,28-01-2017,14,12:00
120000150,20047,28-01-2017,15,12:15
120000151,32167,28-01-2017,13,12:30
120000152,56356,28-01-2017,14,12:45
120000153,21922,29-01-2017,5,13:00
120000154,16437,29-01-2017,8,13:15
120000155,44032,29-01-2017,8,13:30
120000156,37821,29-01-2017,4,13:45
120000157,39398,30-01-2017,7,14:00
120000158,56997,30-01-2017,15,14:15
120000159,22219,30-01-2017,8,14:30
120000160,46059,30-01-2017,14,14:45
120000161,78710,30-01-2017,11,15:00
120000162,28401,30-01-2017,11,15:15
120000163,42540,31-01-2017,4,15:30
120000164,16389,31-01-2017,1,15:45
120000165,43036,31-01-2017,6,16:00
120000166,28708,31-01-2017,6,16:15
120000167,35354,31-01-2017,3,16:30
120000168,77532,31-01-2017,14,16:45
120000169,50529,31-01-2017,11,17:00
120000170,21853,31-01-2017,5,09:00
120000171,31637,01-02-2017,11,09:15
120000172,51996,01-02-2017,11,09:30
120000173,14610,01-02-2017,7,09:45
120000174,24667,01-02-2017,3,10:00
120000175,44901,02-02-2017,5,10:15
120000176,44913,02-02-2017,5,10:30
